13319,14543,14084,14085,14086,14087,15576,15577,15635,15639,16659,16715,16913,16914,16916,16936,16946,17056,16915,18107,18108,18327,18329,17768,17776,17777,17845,17846,20638,20647,20652,20654,20636,20643,20645,20648,20655,20640,19322,20552,20639,20642,20644,20648,20649,20660,20661
Anterior Lateral Line Ganglion,Mesecephalon-Tegmentum,Posterior Lateral Line Ganglion,Ganglia-Olfactory Epithelium,Ganglia-Vagal Ganglia,Diencephalon-Habenula,Diencephalon,Rhombencephalon,Telencephalon-Subpallium,Diencephalon-Habenula,Ganglia-Posterior Lateral Line Ganglia,Diencephalon,Mesencephalon,Rhombencephalon,Ganglia-Posterior Lateral Line Ganglia,Rhombencephalon-Gad1b Cluster 1,Diencephalon,Telencephalon,Ganglia-Anterior Lateral Line Ganglia,Diencephalon,Telencephalon,Diencephalon,Ganglia-Vagal Ganglia,Diencephalon,Ganglia-Lateral Line Neuromast N,Ganglia-Posterior Lateral Line Ganglia,Diencephalon,Diencephalon,,,,,,,,,,,,,,,,,,,
Diencephalon-Habenula,Diancephelon-Habenula,Anterior Lateral Line Ganglion,Telencephalon,Ganglia-Anterior Lateral Line Ganglia,Rhombencephalon,Diencephalon-Habenula,Rhombencephalon-X Vagus motorneuron cluster,Telencephalon-Subpallial dopaminergic cluster,,Diencephalon,Diencephalon-Habenula,Mesencephalon-Torus Semicircularis,Rhombencephalon-Neuropil Region 4,Ganglia-Anterior Lateral Line Ganglia,Rhombencephalon-Neuropil Region 4,Diencephalon-Habenula,Telencephalon-Subpallium,Diencephalon,Diencephalon-Posterior Tuberculum,Telencephalon-Olfactory Bulb,Diencephalon-Right Habenula Vglut2 cluster,Ganglia-Anterior Lateral Line Ganglia,Diencephalon-Habenula,Telencephalon,Ganglia-Lateral Line Neuromast N,Diencephalon-Habenula,Diencephalon-Habenula,,,,,,,,,,,,,,,,,,,
Diencephalon,Rhombencephalon-Rhombhomere 7,Vagal Ganglia,Telencephalon-Olfactory Bulb,Ganglia-Statoacoustic Ganglia,Neuropil Region 4,Mesencephalon-Vglut2 Cluster 1,Diencephalon,Diencephalon-Dorsal Thalamus,,Diencephalon-Habenula,Rhombencephalon-Neuropil Region 4,Rhombencephalon,Ganglia-Anterior Lateral Line Ganglia,Diencephalon-Habenula,Diencephalon-Habenula,Mesencephalon,Rhombencephalon-Interpeduncular Nucleus,Diencephalon-Habenula,Mesencephalon,Ganglia-Posterior Lateral Line Ganglia,Diencephalon-Posterior Tuberculum,Diencephalon,Rhombencephalon,Telencephalon-Subpallium,Ganglia-Anterior Lateral Line Ganglia,Rhombencephalon,Mesencephalon,,,,,,,,,,,,,,,,,,,
Diencephalon-Anterior Pretectum Cluster of Vmat2 Neurons,,Rhombencephalon- Neuropil Region 4,Mesencephalon-Tectum Stratum Periventriculare,Diencephalon-Habenula,Ganglia-Posterior Lateral Line Ganglia,Telencephalon,Mecencephalon,Mesencephalon--Tectal Neuropil,,Rhombencephalon-Neuropil Region 4,Rhombencephalon-Interpeduncular Nucleus,Rhombencephalon-Rhombomere 2,Ganglia-Posterior Lateral Line Ganglia,Rhombencephalon,Diencephalon-Left Habenula Vglut2 Cluster,Mesencephalon-Retinal Arborization Field 9 (AF9),Ganglia-Olfactory Epithelium,Rhombencephalon,Mesencephalon-Tegmentum,Rhombencephalon,Diencephalon-Medial vglut2 cluster,Diencephalon-Habenula,Rhombencephalon-Olig2 enriched areas in cerebellum,Rhombencephalon,Diencephalon-Habenula,,,,,,,,,,,,,,,,,,,,,
,,Rhombencephalon-Interpeduncular Nucleus,Mesencephalon-Vglut 2 cluster 1,Rhombencephalon,,Rhombencephalon,Ganglia- Lateral Line Neuromast 01,Ganglia-Eyes,,Rhombencephalon-Interpeduncular Nucleus,Mesencephalon,Rhombencephalon-VII Facial Motor and octavolateralis efferent neurons,Ganglia-Olfactory Epithelium,Rhombencephalon-Interpeduncular Nucleus,Mesencephalon,Rhombencephalon,Ganglia-Anterior Lateral Line Ganglia,Rhombencephalon-Interpeduncular Nucleus,Mesencephalon-Vglut2 cluster 1,Rhombencephalon-Neuropil Region 4,Rhombencephalon,Rhombencephalon,Rhombencephalon-Cerbellum,Rhombencephalon-Rhombomere 7,Mesencephalon,,,,,,,,,,,,,,,,,,,,,
,,Diencephalon-Habenula,Mesencephalon-Tegmentum,Neuropil Region 4,,Neuropil Region 5,,Ganglia-Trigemina,,,,Rhombencephalon-Vglut2 Stripe 4,Rhombencephalon-Rhombomere 1,,,Rhombencephalon-Rhombomere 7,Mesencephalon,,Telencephalon-Subpallium,Rhombencephalon-Gad1b Stripe 3,Rhombencephalon-RoM2,Rhombencephalon Neuropil Region 2,Ganglia-Anterior Lateral Line Ganglia,,,,,,,,,,,,,,,,,,,,,,,
,,,Diencephalon-Pretectum,,,Rhombencephalon,,,,,,Diencephalon,Diencephalon,,,,,,Rhombencephalon,Mesencephalon,Rhombencephalon-Olig2 enriched areas in cerebellum,,Ganglia-Vagal Ganglia,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6.7FDhcrtR-Gal4 Stripe 1,,,,,,Diencephalon-Ventral Thalamus,Telencephalon,,,,,,Rhombencephalon-Rhombomere 7,Mesencephalon-Torus Semicircularis,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Telencephalon-Subpallial Otpb Cluster 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Telencephalon-Olfactory bulb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
